CustID,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
1020,0,1,1,1,6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,1,1,0,1,1,1,1,1,1,1.9,,3.87,3.19,3.65,4.34,4,1
1021,0,1,0,1,3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,1,0,1,1,0,1,0,0,0,1.32,,3.52,,2.93,2.77,2,1
1022,0,0,1,0,20.7,0,0,22,0,1391.05,0,0,1505,0,0,0,0,0,0,0,1,0,0,3.03,,,3.09,,4.79,1,0
1023,0,1,1,1,5.3,0,49.6,26.75,51.4,253.35,0,2499.8,1340,2645.15,1,1,0,1,0,1,1,1,1,1.67,,3.9,3.29,3.94,4.62,4,0
1024,0,0,1,0,15.05,0,0,27.25,0,810.45,0,0,1390,0,0,0,0,0,0,0,0,0,0,2.71,,,3.31,,4.2,1,0
1025,1,0,1,0,12.5,19.75,0,18,0,153.75,273.75,0,215,0,0,0,0,0,1,1,1,1,0,2.53,2.98,,2.89,,3.58,3,0
1026,1,0,1,0,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,0,0,0,0,0,1,1,1,0,0.79,3.03,,3.7,,3.5,3,0
1027,1,1,1,1,8.25,23.5,36.9,28,37.4,399.15,950.65,1532.9,1190,1562,1,1,0,1,1,1,0,1,1,2.11,3.16,3.61,3.33,3.62,3.61,4,0
1028,0,0,0,0,9.1,0,0,0,0,234.95,0,0,0,0,1,0,0,0,1,0,1,0,0,2.21,,,,,3.43,3,0
1029,0,0,0,0,2.9,0,0,0,0,25.25,0,0,0,0,0,0,0,0,1,0,0,0,0,1.06,,,,,2.83,1,0
1030,0,1,0,0,5.55,0,27.35,0,0,75.25,0,330.65,0,0,1,0,0,1,0,0,0,1,1,1.71,,3.31,,,2.94,2,0
1031,0,1,1,0,10.6,0,31.1,18.25,0,582.6,0,1756.35,1005,0,1,0,0,1,0,0,0,0,1,2.36,,3.44,2.9,,3.58,2,0
1032,1,0,1,1,21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,1,1,0,1,0,0,1,1,1,3.04,4.03,,3.53,3.91,5.04,4,0
1033,1,0,1,0,6.5,27.5,0,35,0,247.55,1068.25,0,1215,0,0,0,0,0,0,1,1,1,0,1.87,3.31,,3.56,,4.94,3,0
1034,0,1,0,0,4.8,0,19.55,0,0,54.1,0,220.4,0,0,1,0,0,1,0,0,0,0,0,1.57,,2.97,,,4.01,2,0
1035,1,1,1,1,33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840,3125.95,1,1,1,1,0,1,1,1,1,3.52,3.64,3.8,2.62,4.01,5.09,4,0
1036,0,1,0,0,4.25,0,30.55,0,0,82.7,0,547.15,0,0,1,0,0,1,0,0,0,0,1,1.45,,3.42,,,3.95,2,1
1037,1,1,1,1,21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785,2895.85,1,1,1,1,1,0,0,1,1,3.05,3.67,3.84,3.99,4,5.35,4,0
1038,1,0,1,1,9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,1,1,0,0,1,1,1,1,0,2.28,3.51,,3.58,3.73,5.23,3,0
1039,1,0,1,0,6.55,29.25,0,19.75,0,67.8,303.65,0,200,0,0,1,0,0,1,1,1,1,0,1.88,3.38,,2.98,,3.66,3,1
1040,1,0,1,0,41.75,49,0,18.75,0,3043.05,3581,0,1360,0,1,0,0,0,1,1,1,1,0,3.73,3.89,,2.93,,3.09,3,0
1041,1,0,1,0,2.5,19.25,0,53.75,0,31.25,178.2,0,490,0,0,0,0,0,1,1,1,1,0,0.92,2.96,,3.98,,3.4,3,0
1042,1,0,1,0,4.25,30,0,17.75,0,78,426.05,0,255,0,0,0,0,0,1,1,1,1,0,1.45,3.4,,2.88,,3.37,3,0
1043,0,0,0,0,6.2,0,0,0,0,180.15,0,0,0,0,0,0,0,0,1,0,0,0,0,1.82,,,,,3.14,1,0
1044,0,1,0,1,5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,1,1,1,1,0,0,0,1,1,1.73,,3.84,,3.88,4.13,4,1
1045,1,0,1,0,14.7,18.75,0,11,0,897.05,1279.25,0,680,0,1,0,0,0,1,1,0,1,0,2.69,2.93,,2.4,,4.33,3,0
1046,0,1,1,0,14.5,0,37,17,0,963.3,0,2263.05,1065,0,1,1,0,1,0,0,0,0,1,2.67,,3.61,2.83,,4.3,2,0
1047,1,0,1,0,12.85,25.75,0,14.25,0,585.6,1278.45,0,635,0,1,0,0,1,0,1,0,0,1,2.55,3.25,,2.66,,4.14,2,0
1048,0,1,1,1,7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,1,0,1,1,0,1,0,1,1,2.05,,3.62,2.92,3.66,3.58,4,1
1049,0,1,0,0,2.95,0,22.95,0,0,18.9,0,208.55,0,0,0,0,0,0,0,0,0,0,0,1.08,,3.13,,,3.5,1,1
1050,1,0,1,1,3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,0,0,0,1,1,1,1,1,1,1.18,3.45,,2.74,3.29,3.37,3,1
1051,0,1,0,0,6.3,0,22.5,0,0,150.9,0,690.75,0,0,0,0,0,1,0,0,0,0,0,1.84,,3.11,,,3.3,1,1
1052,0,0,1,0,24.75,0,0,22.25,0,1349.05,0,0,1215,0,1,0,0,0,0,0,0,0,0,3.21,,,3.1,,3.89,2,0
1053,1,1,1,1,7.8,23.75,37.25,22.5,30.05,63,222.55,330.4,185,306.3,1,1,1,1,1,1,1,1,1,2.05,3.17,3.62,3.11,3.4,3.18,4,0
1054,1,0,0,0,4.85,15.5,0,0,0,33.7,136.55,0,0,0,0,0,0,0,0,1,0,0,0,1.58,2.74,,,,3.26,1,0
1055,1,0,1,0,6.25,18.5,0,14.25,0,330.4,942.65,0,725,0,0,0,0,0,1,0,0,0,1,1.83,2.92,,2.66,,3.85,1,0
1056,1,1,0,0,7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,0,0,1,1,1,0,0,1,0,1.97,2.76,3.34,,,4.54,1,1
1057,0,0,0,0,7.65,0,0,0,0,213.45,0,0,0,0,1,0,0,0,0,0,0,0,0,2.03,,,,,3.04,2,0
1058,0,0,1,0,15.5,0,0,34.5,0,967.1,0,0,1910,0,0,0,0,0,0,0,0,0,0,2.74,,,3.54,,3.3,1,0
1059,1,0,1,1,10.4,28,0,19,27.5,447.85,1152,0,800,1036.65,0,0,0,0,1,1,1,1,0,2.34,3.33,,2.94,3.31,3.4,3,0
1060,0,1,1,0,19.7,0,28.15,14.75,0,909.9,0,1319.7,680,0,1,0,0,1,0,0,0,0,1,2.98,,3.34,2.69,,4.84,2,0
1061,1,0,1,0,12.7,27.5,0,11.5,0,676.9,1505.2,0,620,0,0,1,0,0,1,1,1,1,0,2.54,3.31,,2.44,,4.92,3,1
1062,1,0,1,1,28.8,55.5,0,21.25,61.1,1558.1,3119.45,0,1065,3268.05,1,1,1,0,1,1,1,1,0,3.36,4.02,,3.06,4.11,4.38,4,0
1063,0,0,1,0,10.25,0,0,15.75,0,395.85,0,0,550,0,0,0,0,0,0,0,0,0,0,2.33,,,2.76,,3.4,1,0
1064,0,1,1,0,29,0,47.05,24.75,0,1815.4,0,3064.15,1655,0,1,0,1,1,1,0,0,1,0,3.37,,3.85,3.21,,6.08,4,0
1065,1,1,1,1,15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110,1280,1,0,1,1,1,1,1,1,1,2.72,3.2,3.62,3.31,3.4,4.37,4,1
1066,0,0,1,0,9.05,0,0,6.75,0,373.65,0,0,220,0,0,0,0,0,0,0,0,0,0,2.2,,,1.91,,4.14,1,0
1067,1,0,0,0,8.95,21.25,0,0,0,253.55,586.95,0,0,0,0,0,0,0,1,1,1,1,0,2.19,3.06,,,,3.69,3,0
1068,1,0,1,0,57.05,51.5,0,19.25,0,4168.25,3657.9,0,1345,0,1,0,0,0,1,1,1,1,0,4.04,3.94,,2.96,,3.93,3,0
1069,0,0,0,0,6,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,,,,,3.61,1,0
1070,0,1,1,1,3.15,0,27.25,16.25,17.95,7.9,0,53.25,20,38.2,0,0,0,1,1,0,0,1,1,1.15,,3.31,2.79,2.89,4.11,1,1
1071,0,0,1,0,8.55,0,0,19.75,0,381.5,0,0,710,0,0,0,0,0,0,0,0,0,0,2.15,,,2.98,,3.09,1,0
1072,0,1,0,0,6.6,0,23.3,0,0,96.3,0,350.15,0,0,1,0,0,1,0,0,0,0,1,1.89,,3.15,,,3.78,2,0
1073,0,0,0,0,7.8,0,0,0,0,175.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,,,,,2.83,1,0
1074,0,1,0,1,7.25,0,33.5,0,20.65,359.35,0,1572.7,0,1010.4,1,1,0,1,0,0,0,0,1,1.98,,3.51,,3.03,4.7,2,0
1075,1,0,1,1,24.5,24.75,0,12.5,29.65,1531.9,1569.25,0,780,1875.95,1,0,0,0,1,1,1,1,0,3.2,3.21,,2.53,3.39,4.51,3,0
1076,0,1,0,0,3.15,0,25.05,0,0,16.65,0,172.05,0,0,0,0,1,1,0,0,0,0,1,1.15,,3.22,,,3.83,1,0
1077,0,0,0,0,10.6,0,0,0,0,384.8,0,0,0,0,0,0,0,0,1,1,1,1,0,2.36,,,,,4.44,3,1
1078,0,0,0,0,11.2,0,0,0,0,429.85,0,0,0,0,0,0,0,0,0,0,0,1,0,2.42,,,,,2.3,1,0
1079,1,0,1,0,30.25,30.25,0,30.75,0,2186.2,2036.15,0,2105,0,0,1,0,0,1,1,1,1,0,3.41,3.41,,3.43,,5.5,3,0
1080,1,1,1,1,7.85,44,49.6,10.5,43.75,196.65,1123.25,1159.35,250,1176.55,1,1,1,1,1,1,1,1,1,2.06,3.78,3.9,2.35,3.78,4.38,4,0
1081,1,0,1,0,8.9,33.75,0,5.75,0,379.55,1404.45,0,220,0,1,1,1,1,1,1,1,1,0,2.19,3.52,,1.75,,4.42,4,0
1082,0,1,0,0,1.65,0,21.6,0,0,3.2,0,17.25,0,0,0,0,0,0,0,0,0,1,0,0.5,,3.07,,,3.04,1,1
1083,1,0,1,0,11.85,22.5,0,35,0,230.7,452.75,0,675,0,1,1,1,0,1,1,1,1,0,2.47,3.11,,3.56,,3.18,4,1
1084,1,0,1,0,5.5,31.5,0,19.25,0,185.3,1009.9,0,585,0,0,0,1,0,1,1,1,1,0,1.7,3.45,,2.96,,5.86,3,0
1085,0,1,1,0,14.65,0,40.45,14.25,0,618.15,0,1820.4,690,0,1,0,0,1,0,0,0,0,0,2.68,,3.7,2.66,,5.13,2,0
1086,0,1,0,0,7.25,0,29.15,0,0,243.35,0,923.85,0,0,0,0,0,0,0,0,0,0,1,1.98,,3.37,,,3.83,1,0
1087,0,1,0,0,4.85,0,27.7,0,0,41.85,0,223.05,0,0,1,0,0,0,0,0,0,0,0,1.58,,3.32,,,3.53,2,0
1088,0,1,1,1,17.25,0,48,87.5,33.25,1067.8,0,2864.15,5455,2022.55,1,1,1,1,1,0,1,0,1,2.85,,3.87,4.47,3.5,3.91,4,1
1089,1,1,0,1,3.4,23.75,49.8,0,35.75,10.35,103.1,126.95,0,135.25,0,1,1,1,1,1,1,1,1,1.22,3.17,3.91,,3.58,5.08,4,1
1090,1,0,1,0,7.45,26.75,0,24.75,0,320.9,1163.55,0,1035,0,0,0,0,0,1,1,1,0,0,2.01,3.29,,3.21,,5.36,3,0
1091,0,1,0,0,7.1,0,39.4,0,0,176.2,0,1086.65,0,0,1,0,1,1,0,0,0,0,1,1.96,,3.67,,,4.38,2,0
1092,1,0,0,0,13.2,27.5,0,0,0,495.85,1087.9,0,0,0,0,0,0,0,0,1,0,0,0,2.58,3.31,,,,3.4,1,0
1093,0,1,1,1,12.25,0,38.4,8.75,35.95,631.7,0,1884.1,465,1971.35,1,1,0,1,0,0,0,1,1,2.51,,3.65,2.17,3.58,3.97,2,0
1094,1,0,1,1,5.85,38.25,0,22.25,40.35,216.6,1337.6,0,700,1423.8,1,1,1,1,1,1,1,1,1,1.77,3.64,,3.1,3.7,4.29,4,0
1095,0,0,0,0,3.75,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.32,,,,,2.83,1,1
1096,0,1,1,1,10.2,0,36.4,14.5,30.9,196.3,0,570.9,220,529.25,1,1,0,1,1,1,0,0,1,2.32,,3.59,2.67,3.43,3.14,4,1
1097,0,0,0,0,5.7,0,0,0,0,304.4,0,0,0,0,0,0,0,0,0,1,1,1,0,1.74,,,,,3.53,3,0
1098,1,0,1,0,11.55,12.75,0,21.5,0,491.55,583.75,0,910,0,1,0,0,0,0,0,0,0,0,2.45,2.55,,3.07,,4.67,2,1
1099,1,0,1,0,8.65,30.5,0,9,0,426.6,1465.45,0,405,0,0,0,0,0,0,1,1,1,0,2.16,3.42,,2.2,,3.04,3,1
1100,0,0,1,0,19.3,0,0,22.75,0,1323.2,0,0,1370,0,1,0,0,0,0,1,0,0,0,2.96,,,3.12,,4.42,2,0
1101,0,1,1,0,3.05,0,31.3,14,0,40.3,0,390.6,155,0,1,0,0,1,1,1,1,1,1,1.12,,3.44,2.64,,2.83,4,0
1102,0,1,1,0,24.05,0,35.4,21.25,0,1536.55,0,2288.45,1400,0,1,0,0,0,1,0,1,1,1,3.18,,3.57,3.06,,4.33,3,0
1103,1,0,1,0,4,24.75,0,27.25,0,46,299,0,295,0,0,0,0,0,1,1,1,1,0,1.39,3.21,,3.31,,2.94,3,1
1104,0,1,0,0,6.7,0,33,0,0,187,0,918.25,0,0,1,0,1,1,0,0,0,0,1,1.9,,3.5,,,3.89,2,1
1105,0,0,0,0,7.6,0,0,0,0,145.9,0,0,0,0,1,0,0,0,1,0,0,1,1,2.03,,,,,5.15,2,0
1106,1,0,0,1,5,21.75,0,0,24.15,76.2,318.2,0,0,274,1,0,0,0,0,0,1,1,1,1.61,3.08,,,3.18,3.85,2,1
1107,0,0,1,0,9.6,0,0,9.5,0,353.55,0,0,295,0,0,0,0,0,0,0,0,0,0,2.26,,,2.25,,3.71,1,0
1108,1,0,1,1,6.6,39.75,0,37.25,38.25,159.7,1022.45,0,1005,885.1,1,1,1,0,1,1,1,1,1,1.89,3.68,,3.62,3.64,4.65,4,0
1109,0,0,0,0,5.85,0,0,0,0,97,0,0,0,0,0,1,0,1,0,0,0,0,1,1.77,,,,,3.43,1,0
1110,0,0,1,0,25.25,0,0,33,0,1725.1,0,0,2320,0,1,0,0,0,0,0,0,0,0,3.23,,,3.5,,3.71,2,0
1111,0,0,1,0,12.6,0,0,12.5,0,760.3,0,0,745,0,1,0,0,1,0,0,0,0,1,2.53,,,2.53,,4.62,2,0
1112,1,1,0,0,9.95,14.75,26.15,0,0,412.1,663.1,1180.5,0,0,1,0,0,0,0,0,0,0,0,2.3,2.69,3.26,,,3.58,2,1
1113,0,0,0,0,2,0,0,0,0,3.05,0,0,0,0,0,1,0,0,0,0,0,1,1,0.69,,,,,3.18,1,0
1114,0,1,1,0,12.05,0,27.15,6.5,0,666,0,1469.25,335,0,1,0,0,1,0,0,0,0,1,2.49,,3.3,1.87,,3.22,2,0
1115,1,0,1,0,17.3,21.25,0,19.25,0,997.85,1183.55,0,1160,0,1,0,0,0,1,1,1,1,0,2.85,3.06,,2.96,,4.22,3,0
1116,0,0,0,0,4.8,0,0,0,0,71.05,0,0,0,0,0,0,0,1,0,0,0,0,0,1.57,,,,,3,1,0
1117,0,0,0,0,3.8,0,0,0,0,127.7,0,0,0,0,0,0,0,0,0,1,1,1,0,1.34,,,,,3.87,3,0
1118,0,0,0,0,13,0,0,0,0,502.95,0,0,0,0,0,0,0,0,0,1,1,1,0,2.56,,,,,3.69,3,0
1119,0,0,1,0,13.8,0,0,25.5,0,668.65,0,0,1140,0,0,0,0,0,1,1,1,1,0,2.62,,,3.24,,4.37,3,0
1120,1,1,1,0,3.45,15.5,23.3,23.5,0,13.3,48.75,62.95,45,0,0,0,0,1,0,0,1,0,0,1.24,2.74,3.15,3.16,,3.33,1,1
1121,0,0,1,0,14.8,0,0,17,0,708.45,0,0,820,0,0,0,0,0,0,0,0,0,0,2.69,,,2.83,,4.16,1,0
1122,0,0,0,0,12.2,0,0,0,0,415.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,,,,,3.61,1,0
1123,1,0,0,0,4.25,11,0,0,0,55.5,126.45,0,0,0,0,0,0,0,0,0,0,1,0,1.45,2.4,,,,3.87,1,0
1124,0,1,0,1,5.8,0,35.35,0,21.65,103.1,0,527.8,0,331.4,1,0,0,1,0,0,0,0,1,1.76,,3.57,,3.08,4.88,2,1
1125,0,0,0,0,5.4,0,0,0,0,108.5,0,0,0,0,0,0,0,1,0,0,1,0,1,1.69,,,,,2.89,1,1
1126,0,0,1,0,10.15,0,0,17.75,0,538.65,0,0,1030,0,1,0,0,0,0,0,0,0,0,2.32,,,2.88,,3.64,2,0
1127,0,1,1,1,5.35,0,28.1,9,24.7,144.05,0,602.2,200,503.5,0,1,0,1,1,0,0,1,1,1.68,,3.34,2.2,3.21,3.61,4,0
1128,0,1,0,0,9.6,0,26.75,0,0,243.9,0,730.8,0,0,1,0,0,1,0,0,0,0,1,2.26,,3.29,,,4.09,2,1
1129,0,1,0,0,9.45,0,26.85,0,0,117.55,0,364.1,0,0,1,0,0,1,0,0,0,0,0,2.25,,3.29,,,2.56,2,1
1130,1,0,1,1,26.15,84,0,11.25,45.45,1805.1,5850.25,0,720,3243.25,1,1,1,0,1,1,1,1,0,3.26,4.43,,2.42,3.82,4.58,4,0
1131,1,0,1,1,23.15,36.75,0,36,34.3,1420.95,2308.25,0,2205,2082.8,1,0,0,0,0,0,1,1,0,3.14,3.6,,3.58,3.54,5.27,3,1
1132,0,0,0,0,5.2,0,0,0,0,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,,,,,3.85,1,1
1133,1,0,1,1,12.4,48.75,0,36.5,58.4,744.45,2695.95,0,2070,3084.2,0,1,1,0,1,1,1,1,0,2.52,3.89,,3.6,4.07,4.17,4,0
1134,0,1,1,0,19.3,0,33.4,50.75,0,930.8,0,1719.4,2585,0,1,1,0,1,0,0,1,0,1,2.96,,3.51,3.93,,5.01,2,1
1135,1,1,1,1,9.05,24.25,41.85,12.25,39.6,568.15,1486.35,2291.35,740,2183.95,1,0,1,0,1,1,1,1,0,2.2,3.19,3.73,2.51,3.68,4.66,3,0
1136,0,0,0,0,4.25,0,0,0,0,6.8,0,0,0,0,0,1,0,1,0,0,0,0,1,1.45,,,,,3.93,1,0
1137,0,0,0,0,9.3,0,0,0,0,316.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,,,,,4.56,1,0
1138,0,0,1,1,4.25,0,0,16.25,26.75,30,0,0,85,146.55,1,0,1,0,1,1,1,1,0,1.45,,,2.79,3.29,3.5,3,0
1139,1,1,1,0,13.9,23.25,28.5,3.75,0,255,574.85,621.25,65,0,1,0,1,0,0,1,1,0,0,2.63,3.15,3.35,1.32,,3.64,3,0
1140,1,1,1,1,3.8,19.25,61.45,19,58.25,31.75,233.4,578.6,200,577.7,1,1,1,1,1,1,1,1,1,1.34,2.96,4.12,2.94,4.06,4.83,4,1
1141,1,1,1,1,8.6,24,41.15,17.75,28,241.45,713.45,1201.4,495,722.8,0,1,1,1,1,1,1,1,0,2.15,3.18,3.72,2.88,3.33,4.98,4,0
1142,1,0,1,0,22.05,34.75,0,9.75,0,841.55,1501.55,0,395,0,1,0,0,0,0,1,0,1,0,3.09,3.55,,2.28,,4.6,3,0
1143,1,1,1,1,4.85,18.25,35.05,34.75,31.65,75.45,338.55,731.05,635,570.65,0,0,1,1,1,1,1,1,1,1.58,2.9,3.56,3.55,3.45,3.09,4,0
1144,0,0,1,0,32.25,0,0,33.5,0,2349.25,0,0,2385,0,1,0,0,0,0,0,0,0,0,3.47,,,3.51,,3.43,2,0
1145,1,1,1,1,1.9,15.75,28.7,5,24.15,3.6,23.05,29.05,5,20.95,0,0,1,0,1,1,1,1,0,0.64,2.76,3.36,1.61,3.18,3.22,3,0
1146,1,1,1,1,20.25,21.25,39.4,9.75,28.35,923.95,968.95,1748.55,445,1246.45,0,0,0,1,0,0,1,1,1,3.01,3.06,3.67,2.28,3.34,4.04,1,0
1147,1,1,1,1,12.1,20.5,54.3,9.75,35.35,492.8,910.25,2059.7,330,1301.1,1,1,1,1,1,1,1,1,1,2.49,3.02,3.99,2.28,3.57,3.71,4,0
1148,0,1,0,0,8.15,0,27.95,0,0,209.35,0,615.8,0,0,1,0,0,1,1,0,1,0,0,2.1,,3.33,,,3,2,1
1149,0,0,1,0,13.65,0,0,20.75,0,817.65,0,0,1195,0,1,0,0,0,0,0,0,1,0,2.61,,,3.03,,4.62,2,0
1150,0,0,1,0,10.25,0,0,10.75,0,681.95,0,0,655,0,1,0,0,0,0,0,0,0,0,2.33,,,2.37,,4.03,2,0
1151,0,0,1,0,17.2,0,0,13.25,0,893.3,0,0,750,0,0,0,0,0,0,0,0,0,0,2.84,,,2.58,,3.09,1,0
1152,1,1,1,0,21.8,27.25,42,8,0,1292,1492.1,2394.75,425,0,1,0,0,1,1,1,0,1,0,3.08,3.31,3.74,2.08,,4.68,3,0
1153,1,1,1,1,12.8,16,39.2,17.25,31,785.7,953.95,2410.1,1015,1799.15,1,1,1,1,1,0,1,1,1,2.55,2.77,3.67,2.85,3.43,4.74,4,0
1154,1,1,1,1,8.1,18,45.6,56.5,66.9,225.4,588.4,1463.8,1880,2304.8,1,1,1,1,0,0,1,0,1,2.09,2.89,3.82,4.03,4.2,3.97,4,0
1155,1,1,1,1,8.95,37.75,54.1,28.5,50.75,396.35,1556.4,1979.1,1020,1934.9,1,1,1,0,1,1,1,1,1,2.19,3.63,3.99,3.35,3.93,5.49,4,0
1156,1,0,1,0,3.35,22.5,0,9.25,0,7.55,49.55,0,15,0,0,1,0,1,1,1,0,1,0,1.21,3.11,,2.22,,3,3,0
1157,0,1,1,0,2.5,0,25.3,13.75,0,9.25,0,99.5,40,0,0,0,0,1,0,0,1,0,1,0.92,,3.23,2.62,,4.81,1,0
1158,0,0,0,0,3.95,0,0,0,0,47.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,,,,,3.53,1,0
1159,0,1,0,0,12.95,0,33.05,0,0,348.9,0,832.85,0,0,1,0,0,1,0,0,0,0,1,2.56,,3.5,,,3.43,2,1
1160,0,0,1,0,7.05,0,0,14.5,0,182.3,0,0,285,0,0,0,0,0,1,1,1,1,0,1.95,,,2.67,,3.85,3,0
1161,1,0,1,0,12.9,27.75,0,8.75,0,669.75,1445.15,0,445,0,0,0,0,0,1,1,1,1,0,2.56,3.32,,2.17,,3.87,3,0
1162,1,0,1,0,14.6,33,0,15.75,0,921.7,1990.2,0,930,0,0,0,0,0,1,1,1,1,0,2.68,3.5,,2.76,,2.56,3,0
1163,0,0,0,0,18.6,0,0,0,0,1179.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,,,,,4.36,1,0
1164,0,0,1,0,6.5,0,0,16,0,198.7,0,0,490,0,0,0,0,0,1,1,0,0,0,1.87,,,2.77,,3.53,3,0
1165,0,1,1,0,17.45,0,39.25,10.25,0,1067,0,2331.65,610,0,1,0,0,1,0,0,0,0,1,2.86,,3.67,2.33,,4.39,2,0
1166,0,1,1,0,45.05,0,33,35,0,3235.9,0,2386.45,2495,0,1,0,0,1,0,0,0,0,0,3.81,,3.5,3.56,,4.45,2,0
1167,0,1,1,1,12.2,0,38.75,9.25,28.05,477.5,0,1429.95,365,1111,0,1,1,1,1,1,1,0,1,2.5,,3.66,2.22,3.33,3.26,4,1
1168,0,0,1,0,4.7,0,0,16.5,0,61.5,0,0,260,0,0,0,0,0,0,0,0,0,0,1.55,,,2.8,,3.93,1,0
1169,0,1,0,0,2.45,0,29.8,0,0,16.35,0,170.2,0,0,0,1,0,0,0,1,0,0,1,0.9,,3.39,,,4.08,1,0
1170,0,1,0,1,21.1,0,38.55,0,25.3,1236.3,0,2190.1,0,1465.35,1,0,0,1,0,0,0,0,1,3.05,,3.65,,3.23,4.72,2,1
1171,1,1,1,1,6.2,18.25,36.65,10.5,28.8,135.2,417.55,748.3,250,649.6,1,1,1,1,1,1,1,1,0,1.82,2.9,3.6,2.35,3.36,4.04,4,0
