custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
5621-QSZPSF-NF2,Zone 4,1,Female,59,50-64,July,19,College degree,Managerial and Professional,No,8,6 to 10,No,47,3.85,$25 - $49,8.6,1.36,0.31,2.68,0.99,No,Neutral,Unmarried,-1,Not married,1,7,3,0,0,0,0,0,4,Rent,Multiple-Family,14,8 to 15,3,Own,Domestic,28,Standard,No,Yes,Car,Single occupancy,17,Yes,No,No,Yes,No,No,0,No,0,No,No response,Moderate,No,No,Yes,Discover,Platinum,Other,No,16,5,American Express,None,Other,No,17,More than 15,11,488.97,7,322.07,No,Cereal,50,Yes,8.55,2.15,446.55,6.1,0,0,#NULL!,0,#NULL!,Yes,31.2,3.44,1568.35,7.36,Yes,19,2.94,930,6.84,No,0,#NULL!,0,#NULL!,1,No,No,Cable modem,No,Yes,No,No,Yes,Yes,26,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
8241-PWPONH-62O,Zone 2,4,Female,33,25-34,October,8,Did not complete high school,Sales and Office,No,4,2 to 5,No,19,2.94,Under $25,0.9,0.13,-2.04,0.04,-3.2,No,Somewhat satisfied,Married,9,Did not complete high school,5,6,0,0,0,0,0,0,6,Rent,Multiple-Family,5,4 to 7,2,Own,Import,9.3,Economy,No,Yes,Bus,Public transportation,28,Yes,No,No,Yes,No,No,0,Yes,0,No,Prices,Moderate,No,No,No,Mastercard,Gold,None,No,6,3,Visa,Gold,Airline miles,No,2,2 to 5,14,338.26,2,55.17,No,Cereal,9,Yes,3.6,1.28,37,3.61,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,27,No,Yes,Yes,No,No,No,No,No,No,No,No,No
8795-FYOXCT-P09,Zone 5,2,Male,44,35-49,March,10,Did not complete high school,Managerial and Professional,No,12,11 to 15,No,73,4.29,$50 - $74,2.8,1.25,0.22,0.79,-0.23,No,Highly satisfied,Unmarried,-1,Not married,1,1,0,1,0,0,0,0,0,Own,Condominium/Townhouse,9,8 to 15,1,Own,Import,38.5,Standard,No,Yes,Car,Single occupancy,25,Yes,No,No,No,No,No,0,No,0,No,No response,Moderate,Yes,No,Yes,Discover,Other,None,Yes,1,1,American Express,Platinum,1,No,1,Less than 2,12,534.36,5,198.39,No,Cereal,5,No,6.75,1.91,29.9,3.4,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,7,1.95,30,3.4,No,0,#NULL!,0,#NULL!,0,No,No,Dial-up,Yes,Yes,Yes,Yes,No,Yes,21,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No
1705-NMIQNO-IC4,Zone 3,2,Male,58,50-64,January,18,College degree,Managerial and Professional,No,3,2 to 5,No,63,4.14,$50 - $74,10.5,1.92,0.65,4.69,1.55,No,Neutral,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Own,Mobile Home,32,More than 25,0,N/A,N/A,-1,N/A,N/A,No,Carpool,Multiple occupancy,16,No,No,Yes,Yes,No,No,0,No,0,No,No response,Moderate,No,No,Yes,Discover,Platinum,Other,No,25,5,Mastercard,Other,1,No,17,More than 15,10,593.5,5,384.94,Yes,Energy bar,58,No,12.1,2.49,680.75,6.52,1,30.75,3.43,1776.7,7.48,No,0,#NULL!,0,#NULL!,Yes,24.5,3.2,1415,7.25,No,0,#NULL!,0,#NULL!,1,No,No,None,Yes,No,Yes,Yes,No,Yes,21,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
9205-PAZEXY-90Q,Zone 2,1,Female,72,>65,December,20,Post-undergraduate degree,Agricultural and Natural Resources,Yes,27,More than 15,Yes,17,2.83,Under $25,9.8,1.28,0.24,0.39,-0.94,No,Somewhat satisfied,Married,17,College degree,2,0,0,0,0,0,0,0,0,Own,Single-family,14,8 to 15,1,Own,Import,9.3,Economy,No,No,Telecommute,Telecommute,32,No,No,No,Yes,No,No,0,No,0,Yes,No response,Slightly liberal,Yes,No,Yes,Mastercard,Gold,Cash back,No,33,5,Discover,Other,Airline miles,Yes,26,More than 15,12,233.17,3,39.93,Yes,Cereal,67,No,13.9,2.63,954.05,6.86,0,0,#NULL!,0,#NULL!,Yes,38.55,3.65,2580.75,7.86,Yes,23.25,3.15,1525,7.33,No,0,#NULL!,0,#NULL!,1,No,No,None,No,No,Yes,No,Yes,Yes,24,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No
4225-PZZDIY-IBH,Zone 3,1,Female,66,>65,December,13,High school degree,"Operation, Fabrication, General Labor",Yes,31,More than 15,Yes,23,3.14,Under $25,9.3,0.93,-0.07,1.2,0.19,No,Highly satisfied,Married,12,High school degree,2,9,3,0,0,0,0,0,6,Rent,Multiple-Family,29,More than 25,3,Own,Domestic,11.6,Economy,No,Yes,Car,Single occupancy,14,Yes,No,No,No,Yes,No,0,Yes,0,No,Convenience,Liberal,Yes,Yes,Yes,Mastercard,Platinum,Other,No,40,5,Discover,Gold,1,No,30,More than 15,9,297.47,4,98.65,No,Oatmeal,72,No,38.7,3.66,2854.9,7.96,1,27,3.3,1919,7.56,No,0,#NULL!,0,#NULL!,Yes,68.5,4.23,4865,8.49,Yes,43.25,3.77,3159.25,8.06,1,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,No,Yes,22,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes
0758-EQEGIQ-3OF,Zone 1,1,Female,57,50-64,October,17,College degree,Agricultural and Natural Resources,No,24,More than 15,No,171,5.14,$125+,9.5,1.8,0.59,14.44,2.67,No,Highly satisfied,Married,16,Some college,3,1,0,1,0,0,0,0,0,Own,Single-family,8,8 to 15,2,Own,Import,75.8,Luxury,No,Yes,Car,Single occupancy,19,Yes,Yes,No,No,No,No,0,No,0,No,No response,Slightly conservative,Yes,No,No,Discover,None,None,No,19,5,Mastercard,Gold,Other,No,13,11 to 15,14,305.94,4,96.23,Yes,Cereal,48,No,4.15,1.42,214.85,5.37,1,28.75,3.36,1444.65,7.28,Yes,43.15,3.76,1990.25,7.6,Yes,29.25,3.38,1315,7.18,Yes,40.2,3.69,1840.45,7.52,0,Yes,Yes,Cable modem,Yes,Yes,No,Yes,Yes,Yes,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
0649-TBFJFL-QU4,Zone 5,2,Male,63,50-64,May,14,High school degree,"Operation, Fabrication, General Labor",Yes,29,More than 15,No,424,6.05,$125+,10.7,13.11,2.57,32.26,3.47,No,Somewhat satisfied,Married,20,Post-undergraduate degree,2,0,0,0,0,0,0,0,0,Own,Condominium/Townhouse,29,More than 25,3,Own,Domestic,88.6,Luxury,No,Yes,Car,Single occupancy,29,Yes,No,No,No,Yes,No,0,No,0,Yes,No response,Slightly liberal,No,No,Yes,Mastercard,Platinum,Cash back,No,36,5,Visa,Platinum,Airline miles,Yes,29,More than 15,10,495.75,10,798.31,No,Energy bar,70,No,34.8,3.55,2540.15,7.84,1,45.25,3.81,3165.45,8.06,No,0,#NULL!,0,#NULL!,Yes,19.75,2.98,1325,7.19,No,0,#NULL!,0,#NULL!,1,Yes,No,None,Yes,No,Yes,Yes,Yes,Yes,24,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
2228-KOLOPU-FY3,Zone 5,5,Female,28,25-34,April,11,Did not complete high school,Managerial and Professional,No,4,2 to 5,No,23,3.14,Under $25,4.8,0.19,-1.66,0.91,-0.09,No,Highly dissatisfied,Married,12,High school degree,3,10,1,0,0,0,0,0,9,Own,Single-family,5,4 to 7,0,N/A,N/A,-1,N/A,N/A,Yes,Bus,Public transportation,30,No,No,No,Yes,No,No,0,No,0,Yes,No response,Slightly conservative,Yes,No,No,Visa,Gold,Other,No,10,3,Mastercard,Platinum,Airline miles,No,10,6 to 10,17,442.09,7,144.69,Yes,Energy bar,34,No,3.45,1.24,110.45,4.7,1,33,3.5,1099.65,7,No,0,#NULL!,0,#NULL!,Yes,16.5,2.8,545,6.3,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,Yes,Yes,Yes,No,Yes,16,Yes,Yes,Yes,Yes,No,No,No,No,No,1,No,No
3853-NVDCOJ-TIN,Zone 1,1,Female,78,>65,June,16,Some college,Managerial and Professional,No,10,6 to 10,Yes,22,3.09,Under $25,15.2,0.69,-0.37,2.65,0.98,No,Neutral,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Rent,Single-family,29,More than 25,2,Own,Import,10.8,Economy,No,Yes,Carpool,Multiple occupancy,23,Yes,No,Yes,No,No,No,0,No,0,No,No response,Liberal,No,Yes,No,Visa,Platinum,None,No,10,3,Mastercard,Gold,Cash back,No,7,6 to 10,1,8.11,0,0,Yes,Energy bar,14,No,7.3,1.99,85.6,4.45,0,0,#NULL!,0,#NULL!,Yes,24.85,3.21,341.75,5.83,Yes,31.75,3.46,350,5.86,No,0,#NULL!,0,#NULL!,1,No,No,Dial-up,No,No,No,No,Yes,Yes,22,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0765-UXAFYM-PDR,Zone 3,3,Male,61,50-64,June,16,Some college,Managerial and Professional,No,4,2 to 5,No,35,3.56,$25 - $49,10.1,1.23,0.21,2.3,0.83,No,Neutral,Married,12,High school degree,2,0,0,0,0,0,0,0,0,Rent,Multiple-Family,29,More than 25,4,Lease,Domestic,9.4,Economy,Yes,No,Car,Single occupancy,34,Yes,No,No,Yes,No,No,0,No,0,No,No response,Liberal,No,No,No,American Express,Other,None,No,27,5,Discover,Gold,Airline miles,No,15,11 to 15,8,271.98,7,240.38,No,Cereal,53,No,11.2,2.42,567.05,6.34,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,9.5,2.25,480,6.17,No,0,#NULL!,0,#NULL!,0,Yes,No,Dial-up,Yes,Yes,Yes,Yes,No,Yes,25,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
9937-SFPLRK-H9Y,Zone 2,4,Male,70,>65,September,17,College degree,Sales and Office,Yes,2,2 to 5,No,28,3.33,$25 - $49,9.3,1.2,0.18,1.41,0.34,No,Highly dissatisfied,Married,17,College degree,2,9,0,0,1,0,0,0,8,Rent,Multiple-Family,14,8 to 15,5,Own,Domestic,15.7,Economy,No,Yes,Car,Single occupancy,29,Yes,No,No,No,No,No,0,No,0,No,No response,Conservative,Yes,No,Yes,American Express,None,Airline miles,Yes,26,5,Discover,Gold,Other,No,17,More than 15,8,267.71,3,79.54,Yes,Oatmeal,59,Yes,14.25,2.66,805.8,6.69,1,23.5,3.16,1366.65,7.22,No,0,#NULL!,0,#NULL!,Yes,15.25,2.72,840,6.73,No,0,#NULL!,0,#NULL!,1,No,Yes,Cable modem,No,Yes,No,Yes,No,Yes,21,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No
0712-WQXYVV-HUP,Zone 4,1,Male,61,50-64,April,14,High school degree,"Operation, Fabrication, General Labor",No,18,More than 15,Yes,12,2.48,Under $25,21.5,0.57,-0.57,2.01,0.7,No,Highly satisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Own,Condominium/Townhouse,12,8 to 15,3,Own,Domestic,5.8,Economy,Yes,No,Bus,Public transportation,25,Yes,No,No,Yes,No,No,0,No,0,No,No response,Slightly liberal,Yes,No,No,American Express,None,Cash back,No,24,5,Mastercard,Platinum,1,No,22,More than 15,10,245.03,4,63.63,No,Oatmeal,61,No,8.35,2.12,476.95,6.17,0,0,#NULL!,0,#NULL!,Yes,29.1,3.37,1790.8,7.49,Yes,11.5,2.44,675,6.51,No,0,#NULL!,0,#NULL!,0,No,No,Cable modem,No,Yes,No,No,No,Yes,13,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No
6441-FJUWZQ-7G8,Zone 3,4,Male,37,35-49,August,11,Did not complete high school,Managerial and Professional,Yes,2,2 to 5,No,29,3.37,$25 - $49,15.7,3.32,1.2,1.23,0.21,Yes,Neutral,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Rent,Multiple-Family,10,8 to 15,0,N/A,N/A,-1,N/A,N/A,Yes,Train/Subway,Public transportation,29,No,No,No,Yes,Yes,No,0,No,0,No,No response,Moderate,No,No,No,Other,None,Cash back,Yes,12,4,Discover,Gold,Cash back,No,11,11 to 15,17,556.61,7,187.47,Yes,Energy bar,39,No,13.1,2.57,504.45,6.22,1,28.5,3.35,1028.1,6.94,Yes,43.5,3.77,1663.95,7.42,Yes,10.5,2.35,380,5.94,Yes,31.5,3.45,1199.2,7.09,1,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,21,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
7634-AVNEXZ-7AG,Zone 1,3,Male,39,35-49,October,12,High school degree,Managerial and Professional,No,5,2 to 5,No,130,4.87,$125+,11.3,4.69,1.54,10,2.3,No,Highly satisfied,Married,14,High school degree,4,5,0,0,0,0,0,0,5,Own,Single-family,12,8 to 15,2,Own,Domestic,49.2,Luxury,Yes,No,Car,Single occupancy,32,Yes,No,No,Yes,Yes,No,0,No,0,No,No response,Extremely liberal,Yes,Yes,Yes,Discover,Other,Other,Yes,2,2,Mastercard,Gold,Cash back,No,1,Less than 2,12,453.74,5,245.14,No,Energy bar,6,No,1.5,0.41,11.15,2.41,1,13.25,2.58,93,4.53,No,0,#NULL!,0,#NULL!,Yes,24.5,3.2,140,4.94,No,0,#NULL!,0,#NULL!,0,No,No,Dial-up,Yes,No,Yes,Yes,No,Yes,32,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
2041-PNMGHX-TXJ,Zone 4,3,Female,73,>65,November,14,High school degree,Service,No,28,More than 15,Yes,69,4.23,$50 - $74,14.8,1.16,0.15,9.05,2.2,No,Neutral,Married,15,Some college,2,0,0,0,0,0,0,0,0,Rent,Multiple-Family,38,More than 25,1,Own,Import,22.8,Standard,Yes,No,Car,Single occupancy,27,Yes,No,No,Yes,No,No,0,Yes,0,No,No response,Slightly conservative,No,No,No,Visa,Gold,Airline miles,No,32,5,Mastercard,Gold,Other,Yes,24,More than 15,6,212.67,2,80.44,No,Cereal,62,No,25.45,3.24,1565.6,7.36,1,17.75,2.88,1031.4,6.94,Yes,47.15,3.85,2874.15,7.96,Yes,10,2.3,595,6.39,Yes,53.2,3.97,3245.6,8.09,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
4626-BQZAUJ-V9K,Zone 5,4,Female,26,25-34,June,16,Some college,Sales and Office,No,0,Less than 2,No,24,3.18,Under $25,11.7,1.3,0.26,1.51,0.41,Yes,Somewhat dissatisfied,Married,17,College degree,6,1,0,1,0,0,0,0,0,Rent,Multiple-Family,5,4 to 7,4,Lease,Domestic,9.8,Economy,No,No,Car,Single occupancy,27,Yes,No,No,No,No,No,0,No,0,No,No response,Conservative,Yes,Yes,No,Discover,None,None,Yes,8,3,American Express,Gold,Airline miles,No,4,2 to 5,14,447.67,5,101,Yes,Cereal,26,Yes,5.8,1.76,149.4,5.01,0,0,#NULL!,0,#NULL!,Yes,27.05,3.3,728.55,6.59,Yes,5.5,1.7,145,4.98,No,0,#NULL!,0,#NULL!,1,No,No,Other,No,No,No,No,Yes,Yes,17,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
2969-ODPCDX-5DC,Zone 2,1,Female,24,18-24,April,17,College degree,"Operation, Fabrication, General Labor",No,1,Less than 2,No,29,3.37,$25 - $49,14,1.39,0.33,2.67,0.98,Yes,Highly dissatisfied,Unmarried,-1,Not married,1,12,0,1,0,0,0,0,11,Own,Single-family,4,4 to 7,0,N/A,N/A,-1,N/A,N/A,No,Telecommute,Telecommute,14,No,No,Yes,No,No,No,1,Yes,0,Yes,No response,Conservative,No,Yes,Yes,Discover,None,Other,No,5,2,Mastercard,Platinum,1,No,5,2 to 5,11,279.95,1,24.55,Yes,Energy bar,11,Yes,3.95,1.37,42.4,3.75,0,0,#NULL!,0,#NULL!,Yes,19.65,2.98,172.75,5.15,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,13,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No
